City,id,Country,Lat,Lng
dalbandin,1180729,PK,28.894699,64.410088
sao joao da barra,3448903,BR,-21.640279999999997,-41.051109000000004
port alfred,964432,ZA,-33.590569,26.891040999999998
hilo,5855927,US,19.729719,-155.08999599999999
pouebo,2138607,NC,-20.4,164.566666
dwarka,1272140,IN,22.239441,68.967781
hasaki,2112802,JP,35.73333,140.833328
puquio,3931223,PE,-14.7,-74.13333100000001
avarua,4035715,CK,-21.207781,-159.774994
lebu,3883457,CL,-37.616669,-73.650002
baykit,1510689,RU,61.669998,96.370003
cape town,3369157,ZA,-33.925838,18.42322
ushuaia,3833367,AR,-54.799999,-68.300003
tiksi,2015306,RU,71.687218,128.86944599999998
neryungri,2019309,RU,56.670898,124.649101
bambanglipuro,1650434,ID,-7.95,110.28333300000001
yenagoa,2318123,NG,4.92472,6.26417
kloulklubed,7671223,PW,7.041919999999999,134.25561499999998
punta arenas,3874787,CL,-53.150002,-70.91667199999999
tuktoyaktuk,6170031,CA,69.45414,-133.03741499999998
mogadishu,53654,SO,2.0371099999999998,45.34375
zhangye,1785036,CN,38.93417,100.45166800000001
fort nelson,5955902,CA,58.805328,-122.700203
petropavlovsk-kamchatskiy,2122104,RU,53.0452,158.6483
qaanaaq,3831208,GL,77.483971,-69.363213
along,1278969,IN,28.16667,94.76666999999999
susehri,739209,TR,40.16444,38.08667
sitka,5557293,US,57.053059,-135.330002
puerto ayora,3652764,EC,-0.73931,-90.351761
arraial do cabo,3471451,BR,-22.96611,-42.027778999999995
denpasar,1645528,ID,-8.65,115.21666699999999
macapa,3396016,BR,0.03889,-51.066390999999996
khorramshahr,127319,IR,30.439698999999997,48.166401
pangnirtung,6096551,CA,66.145111,-65.712517
boyolangu,1648082,ID,-8.1181,111.893501
klaksvik,2618795,FO,62.226551,-6.589010000000001
rawson,3839307,AR,-43.300159,-65.10228000000001
hermanus,3366880,ZA,-34.418701,19.234461
borujerd,140044,IR,33.897301,48.751598
narsaq,3421719,GL,60.916672,-46.049999
champerico,3598787,GT,14.3,-91.91667199999999
clyde river,5924351,CA,70.469162,-68.591431
kinwat,1266518,IN,19.633329,78.199997
beidao,1816751,CN,34.568611,105.89333300000001
rikitea,4030556,PF,-23.120279,-134.969177
pacific grove,5380437,US,36.617740999999995,-121.916618
bubaque,2374583,GW,11.28333,-15.833329999999998
upernavik,3418910,GL,72.78684200000001,-56.15485
chunhuhub,3530691,MX,19.549999,-88.683327
kalmunai,1242110,LK,7.41667,81.816673
shimoda,1852357,JP,34.666672,138.949997
cap malheureux,934649,MU,-19.984171,57.614169999999994
deputatskiy,2028164,RU,69.300003,139.899994
husavik,2629833,IS,66.044891,-17.33885
dudinka,1507116,RU,69.40583000000001,86.17778
hofn,2630299,IS,64.25386800000001,-15.2082
rapid valley,5768244,US,44.062489,-103.146294
manubul,1701410,PH,5.4732,120.798599
caravelas,3466980,BR,-17.712549,-39.248138
ornskoldsvik,2686469,SE,63.290909,18.71525
zabid,69500,YE,14.1951,43.315182
koulikoro,2454530,ML,12.86273,-7.55985
kitgum,230893,UG,3.2783300000000004,32.886669
east london,1006984,ZA,-33.015289,27.911619
kuryk,609919,KZ,43.200001,51.650002
adre,245669,TD,13.46667,22.200001
narasannapeta,1261853,IN,18.41667,84.050003
bambous virieux,1106677,MU,-20.342779,57.7575
maumere,1635815,ID,-8.6199,122.21109799999999
wlodawa,755474,PL,51.549999,23.549999
ust-nera,2120048,RU,64.566673,143.199997
dikson,1507390,RU,73.506943,80.546387
half moon bay,5354943,US,37.463551,-122.42858899999999
san policarpo,1688696,PH,12.1791,125.507202
bluff,2206939,NZ,-46.599998,168.333328
zyryanskoye,1484892,RU,56.830601,86.625801
seoul,1835848,KR,37.568259999999995,126.977829
severo-kurilsk,2121385,RU,50.67889,156.125
yulara,6355222,AU,-25.240601,130.988907
novyy urengoy,1496511,RU,66.08332800000001,76.63333100000001
soe,1626703,ID,-9.860710000000001,124.283951
ilulissat,3423146,GL,69.216667,-51.099998
tual,1623197,ID,-5.66667,132.75
te anau,2181625,NZ,-45.416672,167.716675
egvekinot,4031742,RU,66.316673,-179.166672
huarmey,3939168,PE,-10.068060000000001,-78.152222
abatskoye,1512210,RU,56.287479000000005,70.455528
